ID,Model 1 R^2,Model 2 R^2,Model 3 R^2,Model 4 R^2,Model 5 R^2,Model 6 R^2,Model 7 R^2,Model 8 R^2,Model 1 BIC,Model 2 BIC,Model 3 BIC,Model 4 BIC,Model 5 BIC,Model 6 BIC,Model 7 BIC,Model 8 BIC,Pop_Size_units,Temp_C,Medium,Species,Repeat,Citation,N05,Nmax5,Rmax5,Tlag5,N06,Nmax6,Rmax6,Tlag6,N07,Nmax7,Rmax7,Tlag7,N08,Nmax8,Rmax8,Tlag8
00754,0.783,0.983,0.984,0.984,0.98,0.982,0.983,0.967,-135.4,-205.5,-204.2,-201.4,-200.7,-201,-201.9,-183.3,OD_595,5,TSB,Acinetobacter.clacoaceticus,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.019402055575528977,0.1444424681493811,0.013342227969271165,0.0023863196522450384,0.004066318656901399,0.14582356498815544,0.0011809361568060847,0,0.011460416735620052,0.14557281149182438,0.010660595408598436,110.07640864006557,0.01929048227432424,0.1444424681493811,8.428068879156816e-4,0
00807,0.85,0.952,0.959,0.968,0.961,0.969,0.957,0.902,0.1038,-5.89,-5.04,-4.768,-7.287,-7.004,-4.683,1.044,DryWeight,30,Z8,Oscillatoria agardhii StrainCYA 128,1,"Sivonen, K., 1990. Effects of light, temperature, nitrate, orthophosphate, and bacteria on growth of and hepatotoxin production by Oscillatoria agardhii strains. Appl. Environ. Microbiol., 56(9), pp.2658-2666.",1.4592617322982602,2.6753264927655906,0.008214854772162671,0.09965857004841949,1.4782757449803356,2.5969546699298682,0.01326484582029183,26.10042476846506,1.5026492363742068,2.6636883483776472,0.011179700089973096,0,1.590730610626741,2.6508138856372283,0.006861218790932447,0.08307001902081966
01078,0.929,0.938,0.969,0.991,0.163,0.992,0.984,0.954,21.92,22.86,19.96,13.16,41.1,10.35,15.26,22.68,N,8,Vacuum Beef Striploins,Spoilage,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.119070602271995,13.383101765350963,2.337974437813986,3.4480791093812657,6.818737176959169,13.683306657625778,7.538333916830628,1.4734157608888556,6.850251843519377,13.383101765350963,7.587845680392747,1.513007571186529,6.798254489295585,14.052256853618513,3.856066990838588,0.7186564769584924
01162,0.392,0.838,0.95,0.953,0.97,0.969,0.806,0.965,-44.65,-71.94,-95.71,-93.92,-111,-107.1,-64.7,-104.2,OD_595,15,TSB,Stenotrophomonas.maltophilia..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.002747266934165286,0.28177668632971886,0.07856952669054579,0.0020895193332485405,0.016551210228306978,0.28177668632971886,0.014887228264153996,38.565836024231245,0.01671213641223253,0.2896753820864033,0.01132070548288011,0,0.007709277526614125,0.28177668632971886,0.007850330843676605,20.593364328621984
01543,0.834,0.892,0.905,0.912,0.894,0.904,0.907,0.926,1.637,0.5458,1.618,3.031,0.4311,1.717,1.467,-0.1541,DryWeight,15,Z8,Oscillatoria agardhii Strain 97,1,"Sivonen, K., 1990. Effects of light, temperature, nitrate, orthophosphate, and bacteria on growth of and hepatotoxin production by Oscillatoria agardhii strains. Appl. Environ. Microbiol., 56(9), pp.2658-2666.",1.0390804248274448,2.370605386540349,0.006581085974546167,0.16976141993451266,1.0739426700418435,2.284844307058518,0.00988794391812213,36.800813983111595,1.1004289298137806,2.284844307058518,0.015172149479898717,93.71929962246564,1.0822176162665014,2.284844307058518,0.008859654894935426,28.973140318123107
01867,0.145,0.267,0.437,0.636,0.972,0.998,0.983,0.998,16.93,17.07,15.21,10.25,-41.67,-86.38,-48.33,-83.39,OD_595,35,TSB,Klebsiella.pneumonia,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.10519384168968038,0.9574252713545574,0.9528232066319332,0.027501737142545536,0.03509472248814751,0.9449505510528541,0.8701143165404194,0.8625201072386091,0.0066081394684816466,0.9563742222643719,0.9528232066319332,0.8625201072386091,0.06652363293210797,0.9376418475825011,0.7414775143153305,0.8625201072386091
01920,0.898,0.944,0.973,0.989,0.986,0.992,0.99,0.99,39.95,35.22,28.83,20.3,18.74,14.73,17.41,17.22,CFU,10,Raw Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.1541020668072641,8.574580880995052,0.048973816815904264,0.05904681605164323,0.9883772841005247,8.564006343655404,0.2745204690976396,53.587521746924885,1.024855993969483,8.447983134405767,0.22751534179386923,49.94144377346617,1.1135378307465227,8.447983134405767,0.22290703379659035,50.187702213312356
02413,0.893,0.935,0.984,0.987,0.983,0.997,0.993,0.989,47.82,43.97,28.63,28.63,26.82,6.268,17.33,22.97,CFU,7,Cooked Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.03564572546700035,9.546359950968728,0.030887550859880236,0.02601885899332021,0.921777951311175,10.324514869811109,0.16259200167218188,127.58260422208426,0.9766598990559624,9.36463933769715,0.14593528697619926,123.26008631598079,0.9911599299797165,9.455786717761056,0.1282960245197297,116.39923814333383
02595,0.7,0.925,0.954,0.959,0.757,0.786,0.793,0.621,-6.895,-24.98,-29.59,-28.42,-7.311,-6.536,-7.033,2.039,OD_595,25,TSB,Pantoea.agglomerans,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.09165631112238098,0.7689094495786705,0.03762009536128755,0.05808413360193293,0.006837100120242029,0.7689094495786705,0.015603588108851086,0.6279320297926629,0,0.7689094495786705,0.02402434086627546,1.7443358793298014,0.0019585070555695793,0.8477226681604842,0.0174381025398209,1.6719070130908689
03065,0.825,0.879,0.916,0.979,0.346,0.951,0.958,0.96,26.03,24.32,22.73,9.987,42.91,16.82,15.1,14.54,N,8,MRS broth,Lactobacillus plantarum,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",5.5095820353043585,9.124678745891115,0.028316604353830047,0.9826384523974878,6.003492962879793,9.293362928568957,0.06682560646574609,50.83692492733287,5.965753777680215,9.246244757394434,0.0648722362770393,50.83692492733287,5.986524517958915,9.244131856706309,0.04579718152394448,31.794421826296496
