"","ID","Model.1.R.2","Model.2.R.2","Model.3.R.2","Model.4.R.2","Model.5.R.2","Model.6.R.2","Model.7.R.2","Model.8.R.2","Model.1.BIC","Model.2.BIC","Model.3.BIC","Model.4.BIC","Model.5.BIC","Model.6.BIC","Model.7.BIC","Model.8.BIC","Pop_Size_units","Temp_C","Medium","Species","Repeat","Citation","N05","Nmax5","Rmax5","Tlag5","N06","Nmax6","Rmax6","Tlag6","N07","Nmax7","Rmax7","Tlag7","N08","Nmax8","Rmax8","Tlag8","Model5score","Model6score","Model7score","Model8score","Model5total","Model6total","Model7total","Model8total"
"1",754,0.783,0.983,0.984,0.984,0.98,0.982,0.983,0.967,-135.4,-205.5,-204.2,-201.4,-200.7,-201,-201.9,-183.3,"OD_595",5,"TSB","Acinetobacter.clacoaceticus",2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.019402055575529,0.144442468149381,0.0133422279692712,0.00238631965224504,0.0040663186569014,0.145823564988155,0.00118093615680608,0,0.0114604167356201,0.145572811491824,0.0106605954085984,110.076408640066,0.0192904822743242,0.144442468149381,0.000842806887915682,0,5,5,5,0,17.4,18,20.7,0
"2",807,0.85,0.952,0.959,0.968,0.961,0.969,0.957,0.902,0.1038,-5.89,-5.04,-4.768,-7.287,-7.004,-4.683,1.044,"DryWeight",30,"Z8","Oscillatoria agardhii StrainCYA 128",1,"Sivonen, K., 1990. Effects of light, temperature, nitrate, orthophosphate, and bacteria on growth of and hepatotoxin production by Oscillatoria agardhii strains. Appl. Environ. Microbiol., 56(9), pp.2658-2666.",1.45926173229826,2.67532649276559,0.00821485477216267,0.0996585700484195,1.47827574498034,2.59695466992987,0.0132648458202918,26.1004247684651,1.50264923637421,2.66368834837765,0.0111797000899731,0,1.59073061062674,2.65081388563723,0.00686121879093245,0.0830700190208197,5,5,3,1,11.218,10.369,5.727,0
"3",1078,0.929,0.938,0.969,0.991,0.163,0.992,0.984,0.954,21.92,22.86,19.96,13.16,41.1,10.35,15.26,22.68,"N",8,"Vacuum Beef Striploins","Spoilage",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.11907060227199,13.383101765351,2.33797443781399,3.44807910938127,6.81873717695917,13.6833066576258,7.53833391683063,1.47341576088886,6.85025184351938,13.383101765351,7.58784568039275,1.51300757118653,6.79825448929559,14.0522568536185,3.85606699083859,0.718656476958492,0,5,3,0,0,47.99,33.26,18.42
"4",1162,0.392,0.838,0.95,0.953,0.97,0.969,0.806,0.965,-44.65,-71.94,-95.71,-93.92,-111,-107.1,-64.7,-104.2,"OD_595",15,"TSB","Stenotrophomonas.maltophilia..RDA.R.",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00274726693416529,0.281776686329719,0.0785695266905458,0.00208951933324854,0.016551210228307,0.281776686329719,0.014887228264154,38.5658360242312,0.0167121364122325,0.289675382086403,0.0113207054828801,0,0.00770927752661413,0.281776686329719,0.00785033084367661,20.593364328622,5,3,0,1,57,45.3,0,39.5
"5",1543,0.834,0.892,0.905,0.912,0.894,0.904,0.907,0.926,1.637,0.5458,1.618,3.031,0.4311,1.717,1.467,-0.1541,"DryWeight",15,"Z8","Oscillatoria agardhii Strain 97",1,"Sivonen, K., 1990. Effects of light, temperature, nitrate, orthophosphate, and bacteria on growth of and hepatotoxin production by Oscillatoria agardhii strains. Appl. Environ. Microbiol., 56(9), pp.2658-2666.",1.03908042482744,2.37060538654035,0.00658108597454617,0.169761419934513,1.07394267004184,2.28484430705852,0.00988794391812213,36.8008139831116,1.10042892981378,2.28484430705852,0.0151721494798987,93.7192996224656,1.0822176162665,2.28484430705852,0.00885965489493543,28.9731403181231,5,5,5,5,2.3218,0,0.25,4.0774
"6",1867,0.145,0.267,0.437,0.636,0.972,0.998,0.983,0.998,16.93,17.07,15.21,10.25,-41.67,-86.38,-48.33,-83.39,"OD_595",35,"TSB","Klebsiella.pneumonia",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.10519384168968,0.957425271354557,0.952823206631933,0.0275017371425455,0.0350947224881475,0.944950551052854,0.870114316540419,0.862520107238609,0.00660813946848165,0.956374222264372,0.952823206631933,0.862520107238609,0.066523632932108,0.937641847582501,0.74147751431533,0.862520107238609,0,5,0,3,0,85.75,6.66,76.78
"7",1920,0.898,0.944,0.973,0.989,0.986,0.992,0.99,0.99,39.95,35.22,28.83,20.3,18.74,14.73,17.41,17.22,"CFU",10,"Raw Chicken Breast","Aerobic Psychotropic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.154102066807264,8.57458088099505,0.0489738168159043,0.0590468160516432,0.988377284100525,8.5640063436554,0.27452046909764,53.5875217469249,1.02485599396948,8.44798313440577,0.227515341793869,49.9414437734662,1.11353783074652,8.44798313440577,0.22290703379659,50.1877022133124,3,5,3,3,0,9.18,1.33,1.71
"8",2413,0.893,0.935,0.984,0.987,0.983,0.997,0.993,0.989,47.82,43.97,28.63,28.63,26.82,6.268,17.33,22.97,"CFU",7,"Cooked Chicken Breast","Pseudomonas spp.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0356457254670004,9.54635995096873,0.0308875508598802,0.0260188589933202,0.921777951311175,10.3245148698111,0.162592001672182,127.582604222084,0.976659899055962,9.36463933769715,0.145935286976199,123.260086315981,0.991159929979716,9.45578671776106,0.12829602451973,116.399238143334,0,5,0,0,0,48.316,15.13,3.85
"9",2595,0.7,0.925,0.954,0.959,0.757,0.786,0.793,0.621,-6.895,-24.98,-29.59,-28.42,-7.311,-6.536,-7.033,2.039,"OD_595",25,"TSB","Pantoea.agglomerans",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.091656311122381,0.76890944957867,0.0376200953612875,0.0580841336019329,0.00683710012024203,0.76890944957867,0.0156035881088511,0.627932029792663,0,0.76890944957867,0.0240243408662755,1.7443358793298,0.00195850705556958,0.847722668160484,0.0174381025398209,1.67190701309087,5,5,5,1,10.403,8.575,9.569,0
"10",3065,0.825,0.879,0.916,0.979,0.346,0.951,0.958,0.96,26.03,24.32,22.73,9.987,42.91,16.82,15.1,14.54,"N",8,"MRS broth","Lactobacillus plantarum",1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",5.50958203530436,9.12467874589112,0.02831660435383,0.982638452397488,6.00349296287979,9.29336292856896,0.0668256064657461,50.8369249273329,5.96575377768021,9.24624475739443,0.0648722362770393,50.8369249273329,5.98652451795892,9.24413185670631,0.0457971815239445,31.7944218262965,0,3,5,5,0,26.09,29.53,31.21
"11",3371,0.852,0.97,0.97,0.972,0.632,0.967,0.966,0.962,24.32,12.16,14.22,16.04,34.7,15.21,15.47,16.51,"N",5,"ESAW","Tetraselmis tetrahele",5,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.82526016353304,13.6221100616283,0.0143662560498718,1.25033879109727,8.72867228018202,14.2505967231441,0.0242695254841668,0,9.28323099106896,14.0659337166039,0.0182985305724359,0,9.42305497597264,14.039824139449,0.0170472655773308,0,0,5,5,5,0,21.05,20.27,18.19
"12",4176,0.927,0.985,0.987,0.994,0.969,0.994,0.99,0.989,49.06,22.12,21.77,8.903,35.96,6.962,16.64,18.88,"CFU",0,"TGE agar","Arthrobacter sp. 77",1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.01708613346923,8.43842923072309,0.0146897199324713,0.213269676039375,1.37924188147161,8.98832846680622,0.0529630038621171,25.9560618388934,1.68898086830433,8.57508338904946,0.04547464020996,25.9560618388934,1.79993363558373,8.58383452227267,0.0436196547388348,25.9560618388934,0,5,1,0,0,50.594,21.56,17.08
